Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,8,170,5,Some Random Commen with Id 0
1,0,8,27,2,Some Random Commen with Id 1
2,0,8,21,3,Some Random Commen with Id 2
3,0,8,146,5,Some Random Commen with Id 3
4,0,8,145,5,Some Random Commen with Id 4
5,0,8,174,1,Some Random Commen with Id 5
6,0,8,66,3,Some Random Commen with Id 6
7,0,8,38,1,Some Random Commen with Id 7
8,1,5,142,9,Some Random Commen with Id 8
9,1,5,85,6,Some Random Commen with Id 9
10,1,5,166,3,Some Random Commen with Id 10
11,2,0,73,9,Some Random Commen with Id 11
12,2,0,95,3,Some Random Commen with Id 12
13,3,4,175,1,Some Random Commen with Id 13
14,3,4,174,0,Some Random Commen with Id 14
15,4,8,143,1,Some Random Commen with Id 15
16,4,8,134,0,Some Random Commen with Id 16
17,4,8,161,4,Some Random Commen with Id 17
18,5,3,109,0,Some Random Commen with Id 18
19,5,3,73,6,Some Random Commen with Id 19
20,5,3,15,4,Some Random Commen with Id 20
21,5,3,63,6,Some Random Commen with Id 21
22,7,5,125,1,Some Random Commen with Id 22
23,8,1,176,6,Some Random Commen with Id 23
24,8,1,16,5,Some Random Commen with Id 24
25,8,1,188,4,Some Random Commen with Id 25
26,9,2,63,7,Some Random Commen with Id 26
27,9,2,161,0,Some Random Commen with Id 27
28,9,2,136,6,Some Random Commen with Id 28
29,9,2,76,1,Some Random Commen with Id 29
30,9,2,135,1,Some Random Commen with Id 30
31,9,2,155,7,Some Random Commen with Id 31
32,9,2,180,8,Some Random Commen with Id 32
33,9,2,77,0,Some Random Commen with Id 33
34,10,9,198,5,Some Random Commen with Id 34
35,10,9,78,5,Some Random Commen with Id 35
36,10,9,21,3,Some Random Commen with Id 36
37,10,9,6,7,Some Random Commen with Id 37
38,11,9,161,2,Some Random Commen with Id 38
39,11,9,7,6,Some Random Commen with Id 39
40,11,9,62,4,Some Random Commen with Id 40
41,11,9,199,2,Some Random Commen with Id 41
42,11,9,150,1,Some Random Commen with Id 42
43,13,9,64,8,Some Random Commen with Id 43
44,13,9,169,1,Some Random Commen with Id 44
45,13,9,138,8,Some Random Commen with Id 45
46,13,9,63,7,Some Random Commen with Id 46
47,13,9,94,5,Some Random Commen with Id 47
48,13,9,10,6,Some Random Commen with Id 48
49,13,9,59,1,Some Random Commen with Id 49
50,13,9,182,8,Some Random Commen with Id 50
51,13,9,163,2,Some Random Commen with Id 51
52,14,2,6,2,Some Random Commen with Id 52
53,14,2,72,4,Some Random Commen with Id 53
54,14,2,107,8,Some Random Commen with Id 54
55,14,2,95,8,Some Random Commen with Id 55
56,14,2,185,8,Some Random Commen with Id 56
57,15,6,44,1,Some Random Commen with Id 57
58,15,6,155,0,Some Random Commen with Id 58
59,15,6,140,7,Some Random Commen with Id 59
60,15,6,156,3,Some Random Commen with Id 60
61,15,6,71,0,Some Random Commen with Id 61
62,15,6,10,0,Some Random Commen with Id 62
63,15,6,182,9,Some Random Commen with Id 63
64,16,6,164,1,Some Random Commen with Id 64
65,16,6,134,5,Some Random Commen with Id 65
66,16,6,83,6,Some Random Commen with Id 66
67,16,6,65,7,Some Random Commen with Id 67
68,16,6,33,4,Some Random Commen with Id 68
69,17,2,176,6,Some Random Commen with Id 69
70,17,2,134,2,Some Random Commen with Id 70
71,17,2,132,1,Some Random Commen with Id 71
72,18,8,53,9,Some Random Commen with Id 72
73,18,8,82,2,Some Random Commen with Id 73
74,18,8,100,0,Some Random Commen with Id 74
75,18,8,85,4,Some Random Commen with Id 75
76,18,8,105,9,Some Random Commen with Id 76
77,18,8,140,5,Some Random Commen with Id 77
78,18,8,67,2,Some Random Commen with Id 78
79,19,2,1,0,Some Random Commen with Id 79
80,19,2,37,5,Some Random Commen with Id 80
81,19,2,38,2,Some Random Commen with Id 81
82,19,2,189,8,Some Random Commen with Id 82
83,19,2,130,3,Some Random Commen with Id 83
84,19,2,113,5,Some Random Commen with Id 84
85,19,2,194,9,Some Random Commen with Id 85
86,19,2,117,4,Some Random Commen with Id 86
87,20,0,165,0,Some Random Commen with Id 87
88,20,0,169,4,Some Random Commen with Id 88
89,20,0,164,2,Some Random Commen with Id 89
90,20,0,66,3,Some Random Commen with Id 90
91,20,0,146,9,Some Random Commen with Id 91
92,20,0,179,0,Some Random Commen with Id 92
93,21,7,118,0,Some Random Commen with Id 93
94,21,7,104,9,Some Random Commen with Id 94
95,21,7,45,7,Some Random Commen with Id 95
96,21,7,153,9,Some Random Commen with Id 96
97,22,2,35,5,Some Random Commen with Id 97
98,22,2,148,2,Some Random Commen with Id 98
99,22,2,188,1,Some Random Commen with Id 99
100,22,2,86,7,Some Random Commen with Id 100
101,22,2,9,8,Some Random Commen with Id 101
102,22,2,162,4,Some Random Commen with Id 102
103,22,2,78,6,Some Random Commen with Id 103
104,22,2,83,4,Some Random Commen with Id 104
105,22,2,2,6,Some Random Commen with Id 105
106,24,0,196,3,Some Random Commen with Id 106
107,24,0,174,2,Some Random Commen with Id 107
108,24,0,122,7,Some Random Commen with Id 108
109,25,0,149,0,Some Random Commen with Id 109
110,25,0,186,4,Some Random Commen with Id 110
111,25,0,78,6,Some Random Commen with Id 111
112,25,0,120,7,Some Random Commen with Id 112
113,26,9,83,4,Some Random Commen with Id 113
114,26,9,188,9,Some Random Commen with Id 114
115,26,9,149,3,Some Random Commen with Id 115
116,26,9,145,8,Some Random Commen with Id 116
117,27,2,54,5,Some Random Commen with Id 117
118,27,2,22,2,Some Random Commen with Id 118
119,27,2,176,1,Some Random Commen with Id 119
120,27,2,139,8,Some Random Commen with Id 120
121,27,2,1,6,Some Random Commen with Id 121
122,27,2,175,0,Some Random Commen with Id 122
123,27,2,55,4,Some Random Commen with Id 123
124,27,2,24,7,Some Random Commen with Id 124
125,27,2,114,2,Some Random Commen with Id 125
126,28,1,15,9,Some Random Commen with Id 126
127,28,1,157,1,Some Random Commen with Id 127
128,28,1,146,2,Some Random Commen with Id 128
129,28,1,125,8,Some Random Commen with Id 129
130,28,1,128,2,Some Random Commen with Id 130
131,28,1,128,5,Some Random Commen with Id 131
132,29,8,105,3,Some Random Commen with Id 132
133,29,8,38,0,Some Random Commen with Id 133
134,30,8,199,3,Some Random Commen with Id 134
135,30,8,114,4,Some Random Commen with Id 135
136,30,8,60,6,Some Random Commen with Id 136
137,30,8,19,3,Some Random Commen with Id 137
138,30,8,22,9,Some Random Commen with Id 138
139,30,8,174,2,Some Random Commen with Id 139
140,30,8,99,4,Some Random Commen with Id 140
141,31,4,120,3,Some Random Commen with Id 141
142,31,4,155,3,Some Random Commen with Id 142
143,31,4,100,6,Some Random Commen with Id 143
144,31,4,54,0,Some Random Commen with Id 144
145,31,4,103,7,Some Random Commen with Id 145
146,31,4,74,0,Some Random Commen with Id 146
147,32,7,35,8,Some Random Commen with Id 147
148,32,7,199,3,Some Random Commen with Id 148
149,32,7,124,4,Some Random Commen with Id 149
150,32,7,0,2,Some Random Commen with Id 150
151,32,7,14,5,Some Random Commen with Id 151
